,1-4 family residential loans,Allowance for loan losses,AsOfDate,Available-for-sale Fair Value,Commercial and industrial loans,Credit cards,Net Income before,Number of full-time employees,Other real estate loans,Target,Total assets,Total equity capital,Total loans,Total noninterest expense,Total nontransaction deposits,Total transaction deposits
2608754,111854.0,39351.0,,173134.0,232168.0,529.0,8581.0,237.0,751809.0,,1476951.0,168389,1111184.0,29776.0,1113118.0,75363.0
2610784,13253.0,533.0,,11848.0,9078.0,0.0,-490.0,16.0,18023.0,,62865.0,5622,41411.0,1881.0,31069.0,17121.0
2614018,43757.0,1071.0,,11816.0,4419.0,0.0,802.0,47.0,50171.0,,123044.0,13947,100259.0,3521.0,77611.0,23978.0
2614344,75017.0,3080.0,,26991.0,9053.0,0.0,632.0,86.0,55135.0,,229291.0,18384,149686.0,6237.0,152912.0,52200.0
2615190,0.0,151980.0,,0.0,3941.0,948803.0,72165.0,142.0,0.0,,1219793.0,280019,1077523.0,63440.0,909044.0,404.0
2615220,33638.0,1927.0,,17372.0,12997.0,0.0,1667.0,36.0,41783.0,,130096.0,14622,101705.0,2724.0,52256.0,61147.0
2618780,,,,,,,,,,,,654900,,,,
2619714,21307.0,1743.0,,18177.0,7920.0,0.0,998.0,39.0,44924.0,,143441.0,14095,103858.0,2837.0,97560.0,29425.0
2619732,124124.0,7032.0,,118432.0,36414.0,0.0,3523.0,134.0,169232.0,,521100.0,55903,358238.0,10046.0,356031.0,27377.0
2621285,28942.0,1117.0,,13292.0,12731.0,0.0,-226.0,34.0,31999.0,,101415.0,9157,77686.0,3243.0,62472.0,22560.0
2621940,2564.0,1590.0,,36679.0,12134.0,0.0,708.0,21.0,23803.0,,88132.0,9541,45955.0,1812.0,50347.0,27439.0
2624400,38398.0,6513.0,,47122.0,149841.0,0.0,-1559.0,75.0,245285.0,,740188.0,73379,512407.0,8430.0,498621.0,91517.0
2624651,2110.0,1382.0,,25619.0,6503.0,0.0,-44.0,14.0,29994.0,,69534.0,3733,38921.0,2024.0,59853.0,5785.0
2625724,7110.0,8447.0,,80053.0,18147.0,0.0,2327.0,79.0,180164.0,,324223.0,33577,205621.0,7097.0,244120.0,30408.0
2626794,21737.0,2110.0,,5204.0,14569.0,0.0,3541.0,65.0,160463.0,,284261.0,30638,204825.0,5637.0,163126.0,86502.0
2631172,22140.0,4677.0,,76120.0,24241.0,0.0,2632.0,89.0,113934.0,,315200.0,36209,177009.0,7148.0,221676.0,30481.0
2631314,26262.0,5559.0,,48247.0,60372.0,0.0,1539.0,65.0,182095.0,,388362.0,33119,271858.0,7634.0,240626.0,64207.0
2631323,17004.0,1313.0,,113008.0,14287.0,0.0,1383.0,52.0,50208.0,,247809.0,27378,82552.0,5801.0,109490.0,109297.0
2631846,35599.0,2967.0,,24514.0,34197.0,0.0,676.0,63.0,96292.0,,240009.0,27504,171219.0,7503.0,109458.0,95048.0
2634191,294932.0,35853.0,,501497.0,58466.0,0.0,8481.0,259.0,416491.0,,1358326.0,187417,796923.0,20153.0,654189.0,120121.0
2634351,280753.0,34842.0,,41987.0,202705.0,0.0,6355.0,396.0,551375.0,,1514356.0,126551,1090619.0,38454.0,1081451.0,129825.0
2640530,10533.0,3164.0,,90159.0,16230.0,310.0,-1208.0,68.0,72730.0,,223009.0,25088,109265.0,7095.0,148172.0,48119.0
2641827,0.0,0.0,,2100.0,0.0,0.0,1056.0,15.0,0.0,,7155.0,5932,0.0,5417.0,0.0,0.0
2642598,16001.0,1690.0,,22277.0,19658.0,0.0,2354.0,50.0,70687.0,,198707.0,19189,114581.0,4114.0,87602.0,90528.0
2643595,44821.0,1888.0,,12089.0,0.0,0.0,47.0,16.0,63801.0,,159269.0,14765,121448.0,2414.0,116027.0,5422.0
2646327,2332.0,3905.0,,10112.0,20204.0,0.0,-5042.0,26.0,45684.0,,111328.0,2252,82721.0,3085.0,89402.0,18943.0
2646813,10637.0,1891.0,,8240.0,28197.0,0.0,129.0,32.0,25218.0,,102331.0,9864,64849.0,3438.0,60264.0,31935.0
