,RIAD3210,RCON2170,RCON3360,RCONC410,RCONC411,RCON3123,RIAD4093,RIAD4340,RCON2215,RCON2385,RCON3545,Target,AsOfDate
3961,490289,54470,280961,2705,334316,0,0,320,45779,8916,1649,0,9/30/2010
3962,188594,17971,141123,1809,144361,0,22,624,27919,3909,549,0,9/30/2010
3963,102258,11310,80028,3298,81625,0,501,3145,10410,2251,261,0,9/30/2010
3964,381796,3696474,2933903,0,663176,115726,1518,,,,,0,9/30/2010
3965,140787,46171,79150,1002,103098,0,100,0,14958,3718,618,0,9/30/2010
3966,15082375,157790150,179405907,1644586,27267248,6606773,2221471,,,,,0,9/30/2010
3967,36345,5865,24664,210,16363,0,0,0,5672,1225,-279,0,9/30/2010
3968,139987,48395,66183,1717,94141,0,0,0,16679,3218,210,0,9/30/2010
3969,265606,49089,160045,2715,220893,0,417,0,26729,3960,1375,0,9/30/2010
3970,321877,60381,208309,2096,210916,0,184,0,36412,7868,942,0,9/30/2010
3971,535766,6271,468955,2261,281396,0,6960,0,39202,7060,1212,0,9/30/2010
3972,128684,19816,93915,1121,90010,0,370,0,13802,3727,529,0,9/30/2010
3973,110522,36568,60534,6585,82462,0,2882,0,5558,4604,-5317,0,9/30/2010
3974,57183,8648,41056,983,38689,0,828,0,6956,1670,58,0,9/30/2010
3975,122360,6772,102610,1100,86382,0,0,0,12739,2876,-61,0,9/30/2010
3976,33843,7783,22031,289,22457,0,1666,0,3969,912,215,0,9/30/2010
3977,187171,73423,95894,1746,105045,0,2786,1539,16106,5602,-140,0,9/30/2010
3978,291207,24674,226106,3049,198606,0,3268,0,26401,6134,1106,0,9/30/2010
3979,321943,78644,178423,5034,216698,0,2301,0,26032,7881,25,0,9/30/2010
3980,280446,43279,166637,2386,202039,0,599,0,25443,5648,891,0,9/30/2010
3981,127599,41226,67998,776,93094,0,0,0,16113,1870,1028,0,9/30/2010
3982,106660,27714,67820,838,66515,0,0,0,10157,2508,1301,0,9/30/2010
3983,229160,65139,131784,4595,133027,0,374,0,26439,6477,-2954,0,9/30/2010
3984,243985,62583,146947,1942,151237,0,0,0,21346,5438,1332,0,9/30/2010
3985,409949,16909,308298,1350,108829,0,0,0,64937,4510,1082,0,9/30/2010
3986,28560,6470,18600,332,14233,0,54,0,3202,685,139,0,9/30/2010
3987,1058680,13146,932489,3240,361447,0,14284,0,76003,13805,3569,0,9/30/2010
3988,233905,60611,147341,1511,132710,0,0,0,24788,6090,960,0,9/30/2010
3989,303376,52126,165672,1909,176571,0,224,0,35763,6774,1038,0,9/30/2010
3990,567622,49783,401096,19556,407686,0,49,0,57917,8798,1147,0,9/30/2010
3991,393818,54808,293875,2745,273193,0,0,0,37042,9307,3200,0,9/30/2010
3992,159769,56168,85098,1372,124014,0,1320,0,14568,4189,1069,0,9/30/2010
3993,105352,17415,69306,1193,70062,0,864,18,17542,1980,1087,0,9/30/2010
3994,62679,438,500,0,519,0,0,0,51945,74,128,0,9/30/2010
3995,7715466,21,5517121,77877,4538773,0,19772,19106,1826280,175745,164428,0,9/30/2010
3996,1055668,57216,893670,3137,614713,0,1392,0,86815,17049,3442,0,9/30/2010
3997,117924,222,99522,1307,89356,0,430,564,17187,2466,1752,0,9/30/2010
3998,36814,2950,26861,275,20008,0,0,0,6245,1067,-560,0,9/30/2010
3999,935172,250478,517048,12899,613599,0,8195,476,82553,21617,-2799,0,9/30/2010
4000,292111,75351,189487,2511,183815,0,512,0,25079,6867,1105,0,9/30/2010
4001,137468,47695,67164,1750,95779,0,576,0,16686,4501,-141,0,9/30/2010
